,University,Country,uni-country,codes
795,Jadavpur University,India,"Jadavpur University, IND", IND
796,Jinan University,China,"Jinan University, CHN", CHN
797,University of Northern British Columbia (UNBC),Canada,"University of Northern British Columbia (UNBC), CAN", CAN
798,Southwestern University of Finance and Economics,China,"Southwestern University of Finance and Economics, CHN", CHN
799,University of Roehampton,United Kingdom,"University of Roehampton, GBR", GBR
800,University of Science and Technology Beijing,China,"University of Science and Technology Beijing, CHN", CHN
801,University of South Bohemia in ?eskïṡẄ Bud?jovice,Czech Republic,"University of South Bohemia in ?eskïṡẄ Bud?jovice, CZE", CZE
802,American University in Cairo,Egypt,"American University in Cairo, EGY", EGY
803,Chiba University,Japan,"Chiba University, JPN", JPN
804,Polytechnic University of Valencia,Spain,"Polytechnic University of Valencia, ESP", ESP
805,"Asia University, Taiwan",Taiwan,"Asia University, Taiwan, TWN", Taiwan
806,"China University of Geosciences, Wuhan",China,"China University of Geosciences, Wuhan, CHN", Wuhan
807,Mississippi State University,United States,"Mississippi State University, USA", USA
808,Northeast Normal University,China,"Northeast Normal University, CHN", CHN
809,Technical University of Madrid,Spain,"Technical University of Madrid, ESP", ESP
810,University of BïṡẄjaïṡẄa,Algeria,"University of BïṡẄjaïṡẄa, DZA", DZA
811,Benha University,Egypt,"Benha University, EGY", EGY
812,Chulalongkorn University,Thailand,"Chulalongkorn University, THA", THA
813,University of East London,United Kingdom,"University of East London, GBR", GBR
814,Kingston University,United Kingdom,"Kingston University, GBR", GBR
815,Rochester Institute of Technology,United States,"Rochester Institute of Technology, USA", USA
816,University of Chile,Chile,"University of Chile, CHL", CHL
817,China University of Mining and Technology,China,"China University of Mining and Technology, CHN", CHN
818,Chongqing University,China,"Chongqing University, CHN", CHN
819,Ilmenau University of Technology,Germany,"Ilmenau University of Technology, DEU", DEU
820,Karlstad University,Sweden,"Karlstad University, SWE", SWE
821,University of Algarve,Portugal,"University of Algarve, PRT", PRT
822,"International Islamic University, Islamabad",Pakistan,"International Islamic University, Islamabad, PAK", Islamabad
823,Lebanese American University,Lebanon,"Lebanese American University, LBN", LBN
824,Shahid Beheshti University,Iran,"Shahid Beheshti University, IRN", IRN
825,Shanghai University of Finance and Economics (SUFE),China,"Shanghai University of Finance and Economics (SUFE), CHN", CHN
826,Shantou University,China,"Shantou University, CHN", CHN
827,Aligarh Muslim University,India,"Aligarh Muslim University, IND", IND
828,Vilnius University,Lithuania,"Vilnius University, LTU", LTU
829,Al-Balqa Applied University,Jordan,"Al-Balqa Applied University, JOR", JOR
830,"China University of Geosciences, Beijing",China,"China University of Geosciences, Beijing, CHN", Beijing
831,Shanghai University,China,"Shanghai University, CHN", CHN
832,Sheffield Hallam University,United Kingdom,"Sheffield Hallam University, GBR", GBR
833,Sri Venkateswara University,India,"Sri Venkateswara University, IND", IND
834,University of BrasïṡẄlia,Brazil,"University of BrasïṡẄlia, BRA", BRA
835,University of CïṡẄrdoba,Spain,"University of CïṡẄrdoba, ESP", ESP
836,University of Nairobi,Kenya,"University of Nairobi, KEN", KEN
837,Kyoto Prefectural University of Medicine,Japan,"Kyoto Prefectural University of Medicine, JPN", JPN
838,Niigata University,Japan,"Niigata University, JPN", JPN
839,University of Szeged,Hungary,"University of Szeged, HUN", HUN
840,University of Central Lancashire,United Kingdom,"University of Central Lancashire, GBR", GBR
841,National Sun Yat-Sen University,Taiwan,"National Sun Yat-Sen University, TWN", TWN
842,Rikkyo University,Japan,"Rikkyo University, JPN", JPN
843,Bucharest University of Economic Studies,Romania,"Bucharest University of Economic Studies, ROU", ROU
844,Cardiff Metropolitan University,United Kingdom,"Cardiff Metropolitan University, GBR", GBR
845,University of Las Palmas de Gran Canaria,Spain,"University of Las Palmas de Gran Canaria, ESP", ESP
846,Shiraz University,Iran,"Shiraz University, IRN", IRN
847,Teesside University,United Kingdom,"Teesside University, GBR", GBR
848,Florida Institute of Technology,United States,"Florida Institute of Technology, USA", USA
849,Federal University of Pelotas,Brazil,"Federal University of Pelotas, BRA", BRA
850,Leeds Beckett University,United Kingdom,"Leeds Beckett University, GBR", GBR
851,National Central University,Taiwan,"National Central University, TWN", TWN
852,Normandy University,France,"Normandy University, FRA", FRA
853,Staffordshire University,United Kingdom,"Staffordshire University, GBR", GBR
854,Tallinn University,Estonia,"Tallinn University, EST", EST
855,University of Vigo,Spain,"University of Vigo, ESP", ESP
856,VIT University,India,"VIT University, IND", IND
857,Juntendo University,Japan,"Juntendo University, JPN", JPN
858,Lviv Polytechnic National University,Ukraine,"Lviv Polytechnic National University, UKR", UKR
859,"National Institute of Technology, Tiruchirappalli",India,"National Institute of Technology, Tiruchirappalli, IND", Tiruchirappalli
860,The New School,United States,"The New School, USA", USA
861,Osmania University,India,"Osmania University, IND", IND
862,Istanbul University,Turkey,"Istanbul University, TUR", TUR
863,University Rey Juan Carlos,Spain,"University Rey Juan Carlos, ESP", ESP
864,"Vietnam National University, Hanoi",Vietnam,"Vietnam National University, Hanoi, VNM", Hanoi
865,University of Jordan,Jordan,"University of Jordan, JOR", JOR
866,Capital Medical University,China,"Capital Medical University, CHN", CHN
867,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,"Pontifical Catholic University of Rio Grande do Sul (PUCRS), BRA", BRA
868,University of Puerto Rico,Puerto Rico,"University of Puerto Rico, PRI", PRI
869,American University of Sharjah,United Arab Emirates,"American University of Sharjah, ARE", ARE
870,Northeastern University,China,"Northeastern University, CHN", CHN
871,SïṡẄo Paulo State University (UNESP),Brazil,"SïṡẄo Paulo State University (UNESP), BRA", BRA
872,University of Wolverhampton,United Kingdom,"University of Wolverhampton, GBR", GBR
873,Wuhan University of Technology,China,"Wuhan University of Technology, CHN", CHN
874,Babe?-Bolyai University,Romania,"Babe?-Bolyai University, ROU", ROU
875,Technological University Dublin,Ireland,"Technological University Dublin, IRL", IRL
876,University of Cadiz,Spain,"University of Cadiz, ESP", ESP
877,Kaohsiung Medical University,Taiwan,"Kaohsiung Medical University, TWN", TWN
878,National Dong Hwa University,Taiwan,"National Dong Hwa University, TWN", TWN
879,Universiti Tenaga Nasional (UNITEN),Malaysia,"Universiti Tenaga Nasional (UNITEN), MYS", MYS
880,Tokyo Medical University,Japan,"Tokyo Medical University, JPN", JPN
881,Birmingham City University,United Kingdom,"Birmingham City University, GBR", GBR
882,Isfahan University of Medical Sciences,Iran,"Isfahan University of Medical Sciences, IRN", IRN
883,K.N. Toosi University of Technology,Iran,"K.N. Toosi University of Technology, IRN", IRN
884,Xidian University,China,"Xidian University, CHN", CHN
885,University of Bedfordshire,United Kingdom,"University of Bedfordshire, GBR", GBR
886,University of ïṡẄvora,Portugal,"University of ïṡẄvora, PRT", PRT
887,Fu Jen Catholic University,Taiwan,"Fu Jen Catholic University, TWN", TWN
888,Kanazawa University,Japan,"Kanazawa University, JPN", JPN
889,University of Kurdistan,Iran,"University of Kurdistan, IRN", IRN
890,Louisiana Tech University,United States,"Louisiana Tech University, USA", USA
891,University of Baghdad,Iraq,"University of Baghdad, IRQ", IRQ
892,Polytechnic Institute of Porto,Portugal,"Polytechnic Institute of Porto, PRT", PRT
893,Kuwait University,Kuwait,"Kuwait University, KWT", KWT
894,Lahore University of Management Sciences,Pakistan,"Lahore University of Management Sciences, PAK", PAK
895,University of Murcia,Spain,"University of Murcia, ESP", ESP
896,UniversitïṡẄ Saint-Joseph de Beyrouth,Lebanon,"UniversitïṡẄ Saint-Joseph de Beyrouth, LBN", LBN
897,Embry-Riddle Aeronautical University,United States,"Embry-Riddle Aeronautical University, USA", USA
898,Federico Santa MarïṡẄa Technical University,Chile,"Federico Santa MarïṡẄa Technical University, CHL", CHL
899,National Chengchi University,Taiwan,"National Chengchi University, TWN", TWN
900,Sapporo Medical University,Japan,"Sapporo Medical University, JPN", JPN
901,Xiangtan University,China,"Xiangtan University, CHN", CHN
902,China Pharmaceutical University,China,"China Pharmaceutical University, CHN", CHN
903,National University of Sciences and Technology,Pakistan,"National University of Sciences and Technology, PAK", PAK
904,Okayama University,Japan,"Okayama University, JPN", JPN
905,Pondicherry University,India,"Pondicherry University, IND", IND
906,NorthWest A&F University,China,"NorthWest A&F University, CHN", CHN
907,University of Patras,Greece,"University of Patras, GRC", GRC
908,University of La Frontera,Chile,"University of La Frontera, CHL", CHL
909,Indian Institute of Technology (Indian School of Mines) Dhanbad,India,"Indian Institute of Technology (Indian School of Mines) Dhanbad, IND", IND
910,University of Mazandaran,Iran,"University of Mazandaran, IRN", IRN
911,Beijing Jiaotong University,China,"Beijing Jiaotong University, CHN", CHN
912,Hanoi University of Science and Technology,Vietnam,"Hanoi University of Science and Technology, VNM", VNM
913,Jilin University,China,"Jilin University, CHN", CHN
914,University of TrïṡẄs-os-Montes and Alto Douro,Portugal,"University of TrïṡẄs-os-Montes and Alto Douro, PRT", PRT
915,Czech Technical University in Prague,Czech Republic,"Czech Technical University in Prague, CZE", CZE
916,National Taipei University of Technology,Taiwan,"National Taipei University of Technology, TWN", TWN
917,St Marianna University School of Medicine,Japan,"St Marianna University School of Medicine, JPN", JPN
918,University of JaïṡẄn,Spain,"University of JaïṡẄn, ESP", ESP
919,Muroran Institute of Technology,Japan,"Muroran Institute of Technology, JPN", JPN
920,Northwest University,China,"Northwest University, CHN", CHN
921,University of Malaga,Spain,"University of Malaga, ESP", ESP
922,Shanghai Maritime University,China,"Shanghai Maritime University, CHN", CHN
923,Tshwane University of Technology,South Africa,"Tshwane University of Technology, ZAF", ZAF
924,Tallinn University of Technology,Estonia,"Tallinn University of Technology, EST", EST
925,Universiti Utara Malaysia,Malaysia,"Universiti Utara Malaysia, MYS", MYS
926,University of A CoruïṡẄa,Spain,"University of A CoruïṡẄa, ESP", ESP
927,University of Alicante,Spain,"University of Alicante, ESP", ESP
928,Pontifical Catholic University of Peru,Peru,"Pontifical Catholic University of Peru, PER", PER
929,University of Maribor,Slovenia,"University of Maribor, SVN", SVN
930,Aichi Medical University,Japan,"Aichi Medical University, JPN", JPN
931,Ferdowsi University of Mashhad,Iran,"Ferdowsi University of Mashhad, IRN", IRN
932,Jiangsu University,China,"Jiangsu University, CHN", CHN
933,University of Latvia,Latvia,"University of Latvia, LVA", LVA
934,University of Derby,United Kingdom,"University of Derby, GBR", GBR
935,University of Debrecen,Hungary,"University of Debrecen, HUN", HUN
936,University of Ghana,Ghana,"University of Ghana, GHA", GHA
937,KarabïṡẄk University,Turkey,"KarabïṡẄk University, TUR", TUR
938,Sultan Qaboos University,Oman,"Sultan Qaboos University, OMN", OMN
939,Tanta University,Egypt,"Tanta University, EGY", EGY
940,Yangzhou University,China,"Yangzhou University, CHN", CHN
941,"Adam Mickiewicz University, Pozna?",Poland,"Adam Mickiewicz University, Pozna?, POL", Pozna?
942,"University of Agriculture, Faisalabad",Pakistan,"University of Agriculture, Faisalabad, PAK", Faisalabad
943,Gda?sk University of Technology,Poland,"Gda?sk University of Technology, POL", POL
944,Osaka City University,Japan,"Osaka City University, JPN", JPN
945,Tokyo University of Agriculture and Technology,Japan,"Tokyo University of Agriculture and Technology, JPN", JPN
946,University of Isfahan,Iran,"University of Isfahan, IRN", IRN
947,University of the Punjab,Pakistan,"University of the Punjab, PAK", PAK
948,Ain Shams University,Egypt,"Ain Shams University, EGY", EGY
949,At?l?m University,Turkey,"At?l?m University, TUR", TUR
950,Hamamatsu University School of Medicine,Japan,"Hamamatsu University School of Medicine, JPN", JPN
951,Indian Institute of Science Education and Research Kolkata,India,"Indian Institute of Science Education and Research Kolkata, IND", IND
952,Indian Institute of Technology Patna,India,"Indian Institute of Technology Patna, IND", IND
953,Tezpur University,India,"Tezpur University, IND", IND
954,Acharya Nagarjuna University,India,"Acharya Nagarjuna University, IND", IND
955,University of Castilla-La Mancha,Spain,"University of Castilla-La Mancha, ESP", ESP
956,Kumamoto University,Japan,"Kumamoto University, JPN", JPN
957,Tokyo University of Science,Japan,"Tokyo University of Science, JPN", JPN
958,University of Fortaleza (UNIFOR),Brazil,"University of Fortaleza (UNIFOR), BRA", BRA
959,Nagasaki University,Japan,"Nagasaki University, JPN", JPN
960,Nagoya City University,Japan,"Nagoya City University, JPN", JPN
961,Vilnius Gediminas Technical University,Lithuania,"Vilnius Gediminas Technical University, LTU", LTU
962,Zhejiang University of Technology,China,"Zhejiang University of Technology, CHN", CHN
963,Al-Farabi Kazakh National University,Kazakhstan,"Al-Farabi Kazakh National University, KAZ", KAZ
964,Comenius University in Bratislava,Slovakia,"Comenius University in Bratislava, SVK", SVK
965,Kyushu Institute of Technology (Kyutech),Japan,"Kyushu Institute of Technology (Kyutech), JPN", JPN
966,Shinshu University,Japan,"Shinshu University, JPN", JPN
967,Southern Medical University,China,"Southern Medical University, CHN", CHN
968,Oakland University,United States,"Oakland University, USA", USA
969,Robert Gordon University,United Kingdom,"Robert Gordon University, GBR", GBR
970,Semnan University,Iran,"Semnan University, IRN", IRN
971,"California State University, Long Beach",United States,"California State University, Long Beach, USA", Long Beach
972,Delhi Technological University,India,"Delhi Technological University, IND", IND
973,South Valley University,Egypt,"South Valley University, EGY", EGY
974,Brno University of Technology,Czech Republic,"Brno University of Technology, CZE", CZE
975,"University of Chemistry and Technology, Prague",Czech Republic,"University of Chemistry and Technology, Prague, CZE", Prague
976,University of Ostrava,Czech Republic,"University of Ostrava, CZE", CZE
977,Riga Technical University,Latvia,"Riga Technical University, LVA", LVA
978,University of South Wales,United Kingdom,"University of South Wales, GBR", GBR
979,Industrial University of Santander (UIS),Colombia,"Industrial University of Santander (UIS), COL", COL
980,University of Cergy-Pontoise,France,"University of Cergy-Pontoise, FRA", FRA
981,Edge Hill University,United Kingdom,"Edge Hill University, GBR", GBR
982,Nanjing University of Aeronautics and Astronautics,China,"Nanjing University of Aeronautics and Astronautics, CHN", CHN
983,Kagawa University,Japan,"Kagawa University, JPN", JPN
984,National University of Colombia,Colombia,"National University of Colombia, COL", COL
985,Ocean University of China,China,"Ocean University of China, CHN", CHN
986,?Shahid Chamran University of Ahvaz,Iran,"?Shahid Chamran University of Ahvaz, IRN", IRN
987,Shiga University of Medical Science,Japan,"Shiga University of Medical Science, JPN", JPN
988,Warsaw University of Technology,Poland,"Warsaw University of Technology, POL", POL
989,Bandung Institute of Technology (ITB),Indonesia,"Bandung Institute of Technology (ITB), IDN", IDN
990,Budapest University of Technology and Economics,Hungary,"Budapest University of Technology and Economics, HUN", HUN
991,Fayoum University,Egypt,"Fayoum University, EGY", EGY
992,King MongkutïṡẄs University of Technology Thonburi,Thailand,"King MongkutïṡẄs University of Technology Thonburi, THA", THA
993,Tokushima University,Japan,"Tokushima University, JPN", JPN
994,Alexandria University,Egypt,"Alexandria University, EGY", EGY
995,Izmir Institute of Technology,Turkey,"Izmir Institute of Technology, TUR", TUR
996,Suranaree University of Technology,Thailand,"Suranaree University of Technology, THA", THA
997,Bu-Ali Sina University,Iran,"Bu-Ali Sina University, IRN", IRN
998,University of Burgos,Spain,"University of Burgos, ESP", ESP
999,University of Guilan,Iran,"University of Guilan, IRN", IRN
1000,Sohag University,Egypt,"Sohag University, EGY", EGY
1001,University of AlmerïṡẄa,Spain,"University of AlmerïṡẄa, ESP", ESP
1002,Kharazmi University,Iran,"Kharazmi University, IRN", IRN
1003,National University of San MartïṡẄn,Argentina,"National University of San MartïṡẄn, ARG", ARG
1004,University of North Florida,United States,"University of North Florida, USA", USA
1005,Paris Nanterre University,France,"Paris Nanterre University, FRA", FRA
1006,University of South Africa,South Africa,"University of South Africa, ZAF", ZAF
1007,University of Talca,Chile,"University of Talca, CHL", CHL
1008,Texas State University,United States,"Texas State University, USA", USA
1009,Chuo University,Japan,"Chuo University, JPN", JPN
1010,Democritus University of Thrace,Greece,"Democritus University of Thrace, GRC", GRC
1011,University of Sfax,Tunisia,"University of Sfax, TUN", TUN
1012,University of Valladolid,Spain,"University of Valladolid, ESP", ESP
1013,Chung Yuan Christian University,Taiwan,"Chung Yuan Christian University, TWN", TWN
1014,Corvinus University of Budapest,Hungary,"Corvinus University of Budapest, HUN", HUN
1015,Erciyes University,Turkey,"Erciyes University, TUR", TUR
1016,National Taipei University,Taiwan,"National Taipei University, TWN", TWN
1017,National Taiwan Ocean University,Taiwan,"National Taiwan Ocean University, TWN", TWN
1018,Shahrekord University,Iran,"Shahrekord University, IRN", IRN
1019,University of Lethbridge,Canada,"University of Lethbridge, CAN", CAN
1020,Toho University,Japan,"Toho University, JPN", JPN
1021,University of Yamanashi,Japan,"University of Yamanashi, JPN", JPN
1022,"Birla Institute of Technology and Science, Pilani",India,"Birla Institute of Technology and Science, Pilani, IND", Pilani
1023,Polytechnic University of Cartagena,Spain,"Polytechnic University of Cartagena, ESP", ESP
1024,Huaqiao University,China,"Huaqiao University, CHN", CHN
1025,University of LeïṡẄn,Spain,"University of LeïṡẄn, ESP", ESP
1026,University of Chester,United Kingdom,"University of Chester, GBR", GBR
1027,Saitama Medical University,Japan,"Saitama Medical University, JPN", JPN
1028,Sepuluh Nopember Institute of Technology,Indonesia,"Sepuluh Nopember Institute of Technology, IDN", IDN
1029,Southwest Jiaotong University,China,"Southwest Jiaotong University, CHN", CHN
1030,SASTRA University,India,"SASTRA University, IND", IND
1031,University of Zagreb,Croatia,"University of Zagreb, HRV", HRV
1032,De La Salle University,Philippines,"De La Salle University, PHL", PHL
1033,Shahrood University of Technology,Iran,"Shahrood University of Technology, IRN", IRN
1034,University of Tunis El Manar,Tunisia,"University of Tunis El Manar, TUN", TUN
1035,Czech University of Life Sciences Prague (CULS),Czech Republic,"Czech University of Life Sciences Prague (CULS), CZE", CZE
1036,North China Electric Power University,China,"North China Electric Power University, CHN", CHN
1037,Wenzhou Medical University,China,"Wenzhou Medical University, CHN", CHN
1038,Anadolu University,Turkey,"Anadolu University, TUR", TUR
1039,Austral University of Chile,Chile,"Austral University of Chile, CHL", CHL
1040,Ehime University,Japan,"Ehime University, JPN", JPN
1041,Federal University of SïṡẄo Carlos,Brazil,"Federal University of SïṡẄo Carlos, BRA", BRA
1042,National Chung Hsing University,Taiwan,"National Chung Hsing University, TWN", TWN
1043,Showa University,Japan,"Showa University, JPN", JPN
1044,Yokohama National University,Japan,"Yokohama National University, JPN", JPN
1045,Gunma University,Japan,"Gunma University, JPN", JPN
1046,Saitama University,Japan,"Saitama University, JPN", JPN
1047,University of Zanjan,Iran,"University of Zanjan, IRN", IRN
1048,AndrïṡẄs Bello University (UNAB),Chile,"AndrïṡẄs Bello University (UNAB), CHL", CHL
1049,Feng Chia University,Taiwan,"Feng Chia University, TWN", TWN
1050,Imam Abdulrahman Bin Faisal University,Saudi Arabia,"Imam Abdulrahman Bin Faisal University, SAU", SAU
1051,London South Bank University,United Kingdom,"London South Bank University, GBR", GBR
1052,University of Mumbai,India,"University of Mumbai, IND", IND
1053,Pontifical Catholic University of ValparaïṡẄso,Chile,"Pontifical Catholic University of ValparaïṡẄso, CHL", CHL
1054,Toyohashi University of Technology (TUT),Japan,"Toyohashi University of Technology (TUT), JPN", JPN
1055,Chiang Mai University,Thailand,"Chiang Mai University, THA", THA
1056,Mohammed V University of Rabat,Morocco,"Mohammed V University of Rabat, MAR", MAR
1057,Osaka Prefecture University,Japan,"Osaka Prefecture University, JPN", JPN
1058,University of Toyama,Japan,"University of Toyama, JPN", JPN
1059,Federal University of CearïṡẄ (UFC),Brazil,"Federal University of CearïṡẄ (UFC), BRA", BRA
1060,University of Manouba,Tunisia,"University of Manouba, TUN", TUN
1061,Assiut University,Egypt,"Assiut University, EGY", EGY
1062,Gebze Technical University,Turkey,"Gebze Technical University, TUR", TUR
1063,Silesian University of Technology,Poland,"Silesian University of Technology, POL", POL
1064,SWPS University of Social Sciences and Humanities,Poland,"SWPS University of Social Sciences and Humanities, POL", POL
1065,Catholic University of the North,Chile,"Catholic University of the North, CHL", CHL
1066,Khon Kaen University,Thailand,"Khon Kaen University, THA", THA
1067,Nara Medical University,Japan,"Nara Medical University, JPN", JPN
1068,Andhra University,India,"Andhra University, IND", IND
1069,Annamalai University,India,"Annamalai University, IND", IND
1070,University of Antioquia,Colombia,"University of Antioquia, COL", COL
1071,University of ConcepciïṡẄn,Chile,"University of ConcepciïṡẄn, CHL", CHL
1072,Federal University of ViïṡẄosa,Brazil,"Federal University of ViïṡẄosa, BRA", BRA
1073,Universitas Gadjah Mada,Indonesia,"Universitas Gadjah Mada, IDN", IDN
1074,AGH University of Science and Technology,Poland,"AGH University of Science and Technology, POL", POL
1075,KIIT University,India,"KIIT University, IND", IND
1076,Tribhuvan University,Nepal,"Tribhuvan University, NPL", NPL
1077,Zagazig University,Egypt,"Zagazig University, EGY", EGY
1078,Federal University of ABC (UFABC),Brazil,"Federal University of ABC (UFABC), BRA", BRA
1079,Federal University of Bahia,Brazil,"Federal University of Bahia, BRA", BRA
1080,National University of Cuyo,Argentina,"National University of Cuyo, ARG", ARG
1081,National Yunlin University of Science and Technology,Taiwan,"National Yunlin University of Science and Technology, TWN", TWN
1082,BahïṡẄe?ehir University,Turkey,"BahïṡẄe?ehir University, TUR", TUR
1083,The University of Electro-Communications,Japan,"The University of Electro-Communications, JPN", JPN
1084,Nagaoka University of Technology,Japan,"Nagaoka University of Technology, JPN", JPN
1085,National University of CïṡẄrdoba,Argentina,"National University of CïṡẄrdoba, ARG", ARG
1086,Anna University,India,"Anna University, IND", IND
1087,Belarusian State University,Belarus,"Belarusian State University, BLR", BLR
1088,University of Marrakech Cadi Ayyad,Morocco,"University of Marrakech Cadi Ayyad, MAR", MAR
1089,Mie University,Japan,"Mie University, JPN", JPN
1090,University of Peshawar,Pakistan,"University of Peshawar, PAK", PAK
1091,Saga University,Japan,"Saga University, JPN", JPN
1092,Tomas Bata University in ZlïṡẄn,Czech Republic,"Tomas Bata University in ZlïṡẄn, CZE", CZE
1093,Banasthali University,India,"Banasthali University, IND", IND
1094,Hosei University,Japan,"Hosei University, JPN", JPN
1095,Canterbury Christ Church University,United Kingdom,"Canterbury Christ Church University, GBR", GBR
1096,Federal University of Lavras,Brazil,"Federal University of Lavras, BRA", BRA
1097,Gifu University,Japan,"Gifu University, JPN", JPN
1098,L.N. Gumilyov Eurasian National University,Kazakhstan,"L.N. Gumilyov Eurasian National University, KAZ", KAZ
1099,University of West Bohemia,Czech Republic,"University of West Bohemia, CZE", CZE
1100,Yamagata University,Japan,"Yamagata University, JPN", JPN
1101,Azarbaijan Shahid Madani University,Iran,"Azarbaijan Shahid Madani University, IRN", IRN
1102,University of Carthage,Tunisia,"University of Carthage, TUN", TUN
1103,Nicolaus Copernicus University in Toru?,Poland,"Nicolaus Copernicus University in Toru?, POL", POL
1104,Pontifical Catholic University of ParanïṡẄ,Brazil,"Pontifical Catholic University of ParanïṡẄ, BRA", BRA
1105,Tokyo University of Marine Science and Technology,Japan,"Tokyo University of Marine Science and Technology, JPN", JPN
1106,Kochi University,Japan,"Kochi University, JPN", JPN
1107,Nagoya Institute of Technology,Japan,"Nagoya Institute of Technology, JPN", JPN
1108,Sophia University,Japan,"Sophia University, JPN", JPN
1109,Minia University,Egypt,"Minia University, EGY", EGY
1110,University of Miyazaki,Japan,"University of Miyazaki, JPN", JPN
1111,National Changhua University of Education,Taiwan,"National Changhua University of Education, TWN", TWN
1112,Ritsumeikan University,Japan,"Ritsumeikan University, JPN", JPN
1113,Y?ld?z Technical University,Turkey,"Y?ld?z Technical University, TUR", TUR
1114,UniversitïṡẄ Hassan II de Casablanca,Morocco,"UniversitïṡẄ Hassan II de Casablanca, MAR", MAR
1115,Kagoshima University,Japan,"Kagoshima University, JPN", JPN
1116,National Chung Cheng University,Taiwan,"National Chung Cheng University, TWN", TWN
1117,State University of Ponta Grossa,Brazil,"State University of Ponta Grossa, BRA", BRA
1118,"University of Technology, Iraq",Iraq,"University of Technology, Iraq, IRQ", Iraq
1119,University of ValparaïṡẄso,Chile,"University of ValparaïṡẄso, CHL", CHL
1120,Menoufia University,Egypt,"Menoufia University, EGY", EGY
1121,Kitasato University,Japan,"Kitasato University, JPN", JPN
1122,TOBB University of Economics and Technology,Turkey,"TOBB University of Economics and Technology, TUR", TUR
1123,University of Nigeria Nsukka,Nigeria,"University of Nigeria Nsukka, NGA", NGA
1124,Rio de Janeiro State University (UERJ),Brazil,"Rio de Janeiro State University (UERJ), BRA", BRA
1125,Federal University of Pernambuco,Brazil,"Federal University of Pernambuco, BRA", BRA
1126,Londrina State University,Brazil,"Londrina State University, BRA", BRA
1127,University of the Sinos Valley,Brazil,"University of the Sinos Valley, BRA", BRA
1128,Marmara University,Turkey,"Marmara University, TUR", TUR
1129,University of Mysore,India,"University of Mysore, IND", IND
1130,Sofia University,Bulgaria,"Sofia University, BGR", BGR
1131,Tokai University,Japan,"Tokai University, JPN", JPN
1132,University of Engineering & Technology (UET) Lahore,Pakistan,"University of Engineering & Technology (UET) Lahore, PAK", PAK
1133,I-Shou University,Taiwan,"I-Shou University, TWN", TWN
1134,Ochanomizu University,Japan,"Ochanomizu University, JPN", JPN
1135,Urmia University,Iran,"Urmia University, IRN", IRN
1136,Yamaguchi University,Japan,"Yamaguchi University, JPN", JPN
1137,Szent IstvïṡẄn University,Hungary,"Szent IstvïṡẄn University, HUN", HUN
1138,Tzu Chi University,Taiwan,"Tzu Chi University, TWN", TWN
1139,Yuan Ze University,Taiwan,"Yuan Ze University, TWN", TWN
1140,SimïṡẄn BolïṡẄvar University,Venezuela,"SimïṡẄn BolïṡẄvar University, VEN", VEN
1141,Wroc?aw University of Science and Technology,Poland,"Wroc?aw University of Science and Technology, POL", POL
1142,"University of the Andes, Chile",Chile,"University of the Andes, Chile, CHL", Chile
1143,Federal University of ParanïṡẄ (UFPR),Brazil,"Federal University of ParanïṡẄ (UFPR), BRA", BRA
1144,Prince of Songkla University,Thailand,"Prince of Songkla University, THA", THA
1145,"University of Santiago, Chile (USACH)",Chile,"University of Santiago, Chile (USACH), CHL", Chile (USACH)
1146,Federal University of Rio Grande do Norte (UFRN),Brazil,"Federal University of Rio Grande do Norte (UFRN), BRA", BRA
1147,University of Havana,Cuba,"University of Havana, CUB", CUB
1148,Kyoto Institute of Technology,Japan,"Kyoto Institute of Technology, JPN", JPN
1149,Oita University,Japan,"Oita University, JPN", JPN
1150,Osaka Medical College,Japan,"Osaka Medical College, JPN", JPN
1151,University of the Ryukyus,Japan,"University of the Ryukyus, JPN", JPN
1152,Del Rosario University,Colombia,"Del Rosario University, COL", COL
1153,University of Gda?sk,Poland,"University of Gda?sk, POL", POL
1154,Helwan University,Egypt,"Helwan University, EGY", EGY
1155,Manipal Academy of Higher Education,India,"Manipal Academy of Higher Education, IND", IND
1156,University of North Carolina Wilmington,United States,"University of North Carolina Wilmington, USA", USA
1157,Sumy State University,Ukraine,"Sumy State University, UKR", UKR
1158,University of Dar es Salaam,Tanzania,"University of Dar es Salaam, TZA", TZA
1159,Kasetsart University,Thailand,"Kasetsart University, THA", THA
1160,Shizuoka University,Japan,"Shizuoka University, JPN", JPN
1161,University of Sousse,Tunisia,"University of Sousse, TUN", TUN
1162,Federal University of GoiïṡẄs,Brazil,"Federal University of GoiïṡẄs, BRA", BRA
1163,King MongkutïṡẄs Institute of Technology Ladkrabang,Thailand,"King MongkutïṡẄs Institute of Technology Ladkrabang, THA", THA
1164,University of Monastir,Tunisia,"University of Monastir, TUN", TUN
1165,Shimane University,Japan,"Shimane University, JPN", JPN
1166,University of Tlemcen,Algeria,"University of Tlemcen, DZA", DZA
1167,Aoyama Gakuin University,Japan,"Aoyama Gakuin University, JPN", JPN
1168,Cukurova University,Turkey,"Cukurova University, TUR", TUR
1169,University of Silesia in Katowice,Poland,"University of Silesia in Katowice, POL", POL
1170,Bogor Agricultural University,Indonesia,"Bogor Agricultural University, IDN", IDN
1171,Fluminense Federal University,Brazil,"Fluminense Federal University, BRA", BRA
