,University,Country,uni-country,codes
202,University of Calgary,Canada,"University of Calgary, CAN", CAN
203,University of Bergen,Norway,"University of Bergen, NOR", NOR
204,University of Hohenheim,Germany,"University of Hohenheim, DEU", DEU
205,University of Barcelona,Spain,"University of Barcelona, ESP", ESP
206,ïṡẄcole Normale SupïṡẄrieure de Lyon,France,"ïṡẄcole Normale SupïṡẄrieure de Lyon, FRA", FRA
207,Royal College of Surgeons in Ireland (RCSI),Ireland,"Royal College of Surgeons in Ireland (RCSI), IRL", IRL
208,Hebrew University of Jerusalem,Israel,"Hebrew University of Jerusalem, ISR", ISR
209,University of South Florida (Tampa),United States,"University of South Florida (Tampa), USA", USA
210,University of Otago,New Zealand,"University of Otago, NZL", NZL
211,King Abdulaziz University,Saudi Arabia,"King Abdulaziz University, SAU", SAU
212,University of Utah,United States,"University of Utah, USA", USA
213,Vita-Salute San Raffaele University,Italy,"Vita-Salute San Raffaele University, ITA", ITA
214,KTH Royal Institute of Technology,Sweden,"KTH Royal Institute of Technology, SWE", SWE
215,Tilburg University,Netherlands,"Tilburg University, NLD", NLD
216,University of Konstanz,Germany,"University of Konstanz, DEU", DEU
217,Medical University of Graz,Austria,"Medical University of Graz, AUT", AUT
218,Medical University of Vienna,Austria,"Medical University of Vienna, AUT", AUT
219,University of Iowa,United States,"University of Iowa, USA", USA
220,Paris-Sud University,France,"Paris-Sud University, FRA", FRA
221,UniversitïṡẄ Libre de Bruxelles,Belgium,"UniversitïṡẄ Libre de Bruxelles, BEL", BEL
222,University of Miami,United States,"University of Miami, USA", USA
223,University of Reading,United Kingdom,"University of Reading, GBR", GBR
224,University of Dundee,United Kingdom,"University of Dundee, GBR", GBR
225,University of HawaiïṡẄi at M?noa,United States,"University of HawaiïṡẄi at M?noa, USA", USA
226,Vrije Universiteit Brussel,Belgium,"Vrije Universiteit Brussel, BEL", BEL
227,Howard University,United States,"Howard University, USA", USA
228,University of Waterloo,Canada,"University of Waterloo, CAN", CAN
229,William & Mary,United States,"William & Mary, USA", USA
230,University of Wollongong,Australia,"University of Wollongong, AUS", AUS
231,Copenhagen Business School,Denmark,"Copenhagen Business School, DNK", DNK
232,Griffith University,Australia,"Griffith University, AUS", AUS
233,University of Padua,Italy,"University of Padua, ITA", ITA
234,Virginia Polytechnic Institute and State University,United States,"Virginia Polytechnic Institute and State University, USA", USA
235,Brandeis University,United States,"Brandeis University, USA", USA
236,James Cook University,Australia,"James Cook University, AUS", AUS
237,University College Dublin,Ireland,"University College Dublin, IRL", IRL
238,"St GeorgeïṡẄs, University of London",United Kingdom,"St GeorgeïṡẄs, University of London, GBR", University of London
239,University of Twente,Netherlands,"University of Twente, NLD", NLD
240,Wake Forest University,United States,"Wake Forest University, USA", USA
241,"University of California, Riverside",United States,"University of California, Riverside, USA", Riverside
242,University of Passau,Germany,"University of Passau, DEU", DEU
243,University of South Australia,Australia,"University of South Australia, AUS", AUS
244,University of Illinois at Chicago,United States,"University of Illinois at Chicago, USA", USA
245,Chalmers University of Technology,Sweden,"Chalmers University of Technology, SWE", SWE
246,Alfaisal University,Saudi Arabia,"Alfaisal University, SAU", SAU
247,Curtin University,Australia,"Curtin University, AUS", AUS
248,QueenïṡẄs University,Canada,"QueenïṡẄs University, CAN", CAN
249,Sapienza University of Rome,Italy,"Sapienza University of Rome, ITA", ITA
250,University of Cincinnati,United States,"University of Cincinnati, USA", USA
251,University of Surrey,United Kingdom,"University of Surrey, GBR", GBR
252,Tohoku University,Japan,"Tohoku University, JPN", JPN
253,University at Buffalo,United States,"University at Buffalo, USA", USA
254,Auckland University of Technology,New Zealand,"Auckland University of Technology, NZL", NZL
255,ïṡẄcole des Ponts ParisTech,France,"ïṡẄcole des Ponts ParisTech, FRA", FRA
256,Oregon Health and Science University,United States,"Oregon Health and Science University, USA", USA
257,University of SïṡẄo Paulo,Brazil,"University of SïṡẄo Paulo, BRA", BRA
258,Swansea University,United Kingdom,"Swansea University, GBR", GBR
259,Dalhousie University,Canada,"Dalhousie University, CAN", CAN
260,Flinders University,Australia,"Flinders University, AUS", AUS
261,University of Navarra,Spain,"University of Navarra, ESP", ESP
262,University of Potsdam,Germany,"University of Potsdam, DEU", DEU
263,University of Essex,United Kingdom,"University of Essex, GBR", GBR
